ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},"Sant Cugat Theater csv names ""Etiqueta del Punto"""
1,De-centralized data,Heat Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Dressing_Room,Heat_Pump_Status_Dressing_Room,EST.B.C.CL.6
2,De-centralized data,Heat Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Stage,Heat_Pump_Status_Stage,EST.B.C.CL.7
3,De-centralized data,Cold Pump Status.,p,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Stage,Cold_Pump_Status_Stage,EST.B.F.CL.7
4,De-centralized data,Chiller Status,p,Sant Cugat - Theater,santcugat_theater_BMS_Chiller_Status_Production,Chiller_Status_Production,EST.ENFR.
5,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_Essays,Fan_status_of_the_climate_control_Essays,EST.CL.1
6,De-centralized data,Metering Heat Pumps Electrical Energy  (Total ),C,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Heat_Pumps_Electrical_Energy_Production_Total,Metering_Heat_Pumps_Electrical_Energy_Production_Total,CONT.B.CALOR
7,De-centralized data,Metering ALL Heat Pumps Electrical Energy  (Monthly ),C,Sant Cugat - Theater,santcugat_theater_BMS_Metering_ALL_Heat_Pumps_Electrical_Energy_Production,Metering_ALL_Heat_Pumps_Electrical_Energy_Production,CONT.1.TOT
8,De-centralized data,Metering Heat Pumps Electrical Energy  (Daily ),C,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Heat_Pumps_Electrical_Energy_Production_Daily,Metering_Heat_Pumps_Electrical_Energy_Production_Daily,CONT.1.24H
9,De-centralized data,Metering Fan Climate control Electrical Energy  (Total ),C,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Fan_Climate_control_Electrical_Energy_Production_Total,Metering_Fan_Climate_control_Electrical_Energy_Production_Total,CONT.E281_CLIMAS.TOT
10,De-centralized data,Metering Fan Climate control Electrical Energy  (Monthly ),C,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Fan_Climate_control_Electrical_Energy_Production_Monthly,Metering_Fan_Climate_control_Electrical_Energy_Production_Monthly,CONT.2.MENS
