ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},file name header
45,De-centralized data,Canteeen feeder - active power phase 3,W,Savona - School,savona_school_bms_Canteeen_feeder_active_power_phase_3,Canteeen_feeder_active_power_phase_3,Mensa - P3
46,De-centralized data,Canteeen feeder - energy imported,Wh,Savona - School,savona_school_bms_Canteeen_feeder_energy_imported,Canteeen_feeder_energy_imported,Mensa - Energia attiva
47,De-centralized data,Canteeen feeder - energy exported,Wh,Savona - School,savona_school_bms_Canteeen_feeder_energy_exported,Canteeen_feeder_energy_exported,Mensa - Energia attiva esportata
48,De-centralized data,PV field feeder - active power phase 1,W,Savona - School,savona_school_bms_PV_field_feeder_active_power_phase_1,PV_field_feeder_active_power_phase_1,Fotovoltaico - P1
49,De-centralized data,PV field feeder - active power phase 2,W,Savona - School,savona_school_bms_PV_field_feeder_active_power_phase_2,PV_field_feeder_active_power_phase_2,Fotovoltaico - P2
50,De-centralized data,PV field feeder - active power phase 3,W,Savona - School,savona_school_bms_PV_field_feeder_active_power_phase_3,PV_field_feeder_active_power_phase_3,Fotovoltaico - P3
51,De-centralized data,PV field feeder - energy imported,Wh,Savona - School,savona_school_bms_PV_field_feeder_energy_imported,PV_field_feeder_energy_imported,Fotovoltaico - Energia attiva
52,De-centralized data,PV field feeder - energy exported,Wh,Savona - School,savona_school_bms_PV_field_feeder_energy_exported,PV_field_feeder_energy_exported,Fotovoltaico - Energia attiva esportata
53,De-centralized data,Gas meter n.1,Wh,Savona - School,savona_school_bms_Gas_meter_n1,Gas_meter_n1,Energia 1
54,De-centralized data,Gas meter n.2,Wh,Savona - School,savona_school_bms_Gas_meter_n2,Gas_meter_n2,Energia 2
55,De-centralized data,Gas meter n.3,Wh,Savona - School,savona_school_bms_Gas_meter_n3,Gas_meter_n3,Energia 3
