ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},"Sant Cugat Theater csv names ""Etiqueta del Punto"""
37,De-centralized data,Gas meter Boiler 1 (Daily ),C,Sant Cugat - Theater,santcugat_theater_BMS_Gas_meter_Boiler_1_Stage,Gas_meter_Boiler_1_Stage,T.IMP.CL.7
38,De-centralized data,Return temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_Stage,Return_temperature_Stage,T.RET.CL.7
39,De-centralized data,External temperature.,C,Sant Cugat - Theater,santcugat_theater_BMS_External_temperature_Outside,External_temperature_Outside,T.EXT
40,De-centralized data,Metering Gas meter Boiler 2 (Daily ),m3,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Gas_meter_Boiler_2_Production_Daily,Metering_Gas_meter_Boiler_2_Production_Daily,CONT.5.24H
41,De-centralized data,% Free cooling.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Free_cooling_Stage,%_Free_cooling_Stage,MOD.COMP.CL.7
42,De-centralized data,% Free cooling.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Free_cooling_Amphitheater,%_Free_cooling_Amphitheater,MOD.COMP.CL.4
43,De-centralized data,Metering Cold Pumps Electrical Energy  (Total ),Kwh,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Cold_Pumps_Electrical_Energy_Production_Total,Metering_Cold_Pumps_Electrical_Energy_Production_Total,CONT.6_E282.TOT
44,De-centralized data,Metering Cold Pumps Electrical Energy  (Monthly ),Kwh,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Cold_Pumps_Electrical_Energy_Production_Monthly,Metering_Cold_Pumps_Electrical_Energy_Production_Monthly,CONT.6.MENS
45,De-centralized data,Metering Cold Pumps Electrical Energy  (Daily ),Kwh,Sant Cugat - Theater,santcugat_theater_BMS_Metering_Cold_Pumps_Electrical_Energy_Production_Daily,Metering_Cold_Pumps_Electrical_Energy_Production_Daily,CONT.6.24H
46,De-centralized data,% Heat opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Heat_opening_clamp_Essays,%_Heat_opening_clamp_Essays,V3V.CAL.CL.1
47,De-centralized data,% Cold opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Cold_opening_clamp_Essays,%_Cold_opening_clamp_Essays,V3V.FRIO.CL.1
48,De-centralized data,% Heat opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Heat_opening_clamp_Cocktail_bar,%_Heat_opening_clamp_Cocktail_bar,V3V.CAL.CL.2
49,De-centralized data,% Cold opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Cold_opening_clamp_Cocktail_bar,%_Cold_opening_clamp_Cocktail_bar,V3V.FRIO.CL.2
50,De-centralized data,% Heat opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Heat_opening_clamp_HALL,%_Heat_opening_clamp_HALL,V3V.CAL.CL.3
51,De-centralized data,% Cold opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Cold_opening_clamp_HALL,%_Cold_opening_clamp_HALL,V3V.FRIO.CL.3
52,De-centralized data,% Heat opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Heat_opening_clamp_Amphitheater,%_Heat_opening_clamp_Amphitheater,V3V.CAL.CL.4
53,De-centralized data,% Cold opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Cold_opening_clamp_Amphitheater,%_Cold_opening_clamp_Amphitheater,V3V.FRIO.CL.4
54,De-centralized data,% Heat opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Heat_opening_clamp_Control_Booths,%_Heat_opening_clamp_Control_Booths,V3V.CAL.CL.5
55,De-centralized data,% Cold opening clamp.,%,Sant Cugat - Theater,santcugat_theater_BMS_%_Cold_opening_clamp_Control_Booths,%_Cold_opening_clamp_Control_Booths,V3V.FRIO.CL.5
